condition,operation,value,accuracy,auroc,f1,count,threshold,auroc_logits,tp,tn,fp,fn,ai_recall,real_recall,precision,false_positive_rate,balanced_accuracy
jpeg_q30,jpeg,30,0.7719095441080847,0.9961430800975823,0.7827104411865924,13841,0.3,0.9961430800975823,5686,4998,0,3157,0.6429944588940405,1.0,1.0,0.0,0.8214972294470202
jpeg_q30,jpeg,30,0.7775449750740553,0.9961430800975823,0.7892106524269186,13841,0.1,0.9961430800975823,5764,4998,0,3079,0.6518149949112292,1.0,1.0,0.0,0.8259074974556146
jpeg_q30,jpeg,30,0.788021096741565,0.9961430800975823,0.8011117136659436,13841,0.01,0.9961430800975823,5909,4998,0,2934,0.6682121451995929,1.0,1.0,0.0,0.8341060725997964
jpeg_q30,jpeg,30,0.8036269055704067,0.9961430800975823,0.818412613575628,13841,0.001,0.9961430800975823,6125,4998,0,2718,0.6926382449395002,1.0,1.0,0.0,0.8463191224697502
jpeg_q30,jpeg,30,0.8340437829636587,0.9961430800975823,0.8507375398011566,13841,0.0001,0.9961430800975823,6546,4998,0,2297,0.7402465226733009,1.0,1.0,0.0,0.8701232613366505
jpeg_q30,jpeg,30,0.9239939310743444,0.9961430800975823,0.9368168168168168,13841,1e-05,0.9961430800975823,7799,4990,8,1044,0.8819405179237815,0.9983993597438976,0.9989752785961317,0.001600640256102441,0.9401699388338396
jpeg_q30,jpeg,30,0.9562892854562531,0.9961430800975823,0.9646921505690108,13841,5e-06,0.9961430800975823,8265,4971,27,578,0.9346375664367296,0.9945978391356542,0.9967438494934877,0.005402160864345739,0.964617702786192
jpeg_q30,jpeg,30,0.8365725019868506,0.9961430800975823,0.8864913689281413,13841,1e-06,0.9961430800975823,8833,2746,2252,10,0.9988691620490784,0.5494197679071628,0.7968425800631485,0.45058023209283715,0.7741444649781206
jpeg_q30,jpeg,30,0.6388989234881872,0.9961430800975823,0.7796684888026802,13841,1e-08,0.9961430800975823,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
jpeg_q30,jpeg,30,0.6388989234881872,0.9961430800975823,0.7796684888026802,13841,1e-10,0.9961430800975823,8843,0,4998,0,1.0,0.0,0.6388989234881872,1.0,0.5
blur_sigma0.5,blur,0.5,0.804927389639477,0.9912448299460008,0.8198799199466311,13841,0.5,0.9912448299460008,6145,4996,2,2698,0.6948999208413434,0.9995998399359743,0.9996746380348137,0.00040016006402561027,0.8472498803886589
blur_sigma0.5,blur,0.5,0.8080341015822556,0.9912448299460008,0.8232555045566421,13841,0.3,0.9912448299460008,6188,4996,2,2655,0.6997625240303065,0.9995998399359743,0.9996768982229403,0.00040016006402561027,0.8496811819831405
blur_sigma0.5,blur,0.5,0.8137417816631747,0.9912448299460008,0.8294070937003706,13841,0.1,0.9912448299460008,6267,4996,2,2576,0.7086961438425874,0.9995998399359743,0.999680969851651,0.00040016006402561027,0.8541479918892809
blur_sigma0.5,blur,0.5,0.8242179033306842,0.9912448299460008,0.84057401218793,13841,0.01,0.9912448299460008,6414,4994,4,2429,0.7253194617211354,0.9991996798719488,0.9993767528825179,0.0008003201280512205,0.8622595707965421
blur_sigma0.5,blur,0.5,0.8351275196878838,0.9912448299460008,0.851933558266286,13841,0.001,0.9912448299460008,6565,4994,4,2278,0.742395114780052,0.9991996798719488,0.9993910793119196,0.0008003201280512205,0.8707973973260004
